id,created_at,updated_at,status,code_sap,name,fantasy,system,retroactive,owner
140,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10552182,COOP REG AGROP SERRANA LTDA,COOPERSERRA,,,1
143,2019-12-03 15:55:28,2019-12-18 14:54:33,True,10433408,COOP REG CAFEIC GUAXUPE LTDA,COOXUPE,,,1
144,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10550043,COOP REG ITAIPU,COOPERITAIPU,,,1
146,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10501678,COOP TRIT DE ESPUMOSO LTDA,COTRIEL,,,1
149,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434583,COOP TRIT MISTA VACARIENSE LTDA,COOPERVAL,,,1
150,2019-12-03 15:55:28,2020-01-06 10:12:01,True,10433876,COOP TRIT REG S LUIZENSE LTDA,COOPATRIGO,,,1
113,2019-12-03 15:55:28,2020-02-12 13:48:31,True,10433890,COOP AGROP BOA ESPERANCENSE,COPERBOA,,,1
98,2019-12-03 15:55:28,2020-02-12 13:35:47,True,10433790,COOP AGRIC MISTA PONTA GROSSA,COOPAGRÍCOLA,,,1
103,2019-12-03 15:55:28,2020-02-12 13:46:25,True,10548658,COOP AGRO INDL HOLAMBRA,INDL HOLAMBRA,,,1
90,2019-12-03 15:55:28,2020-02-14 11:09:13,True,10434575,COOP AGRIC AGUA SANTA LTDA,COASARS,,,1
94,2019-12-03 15:55:28,2020-05-05 16:40:33,True,10433997,COOP AGRIC MISTA DE ADAMANTINA,CAMDA,,,1
92,2019-12-03 15:55:28,2020-02-14 11:12:10,True,10434063,COOP AGRIC DE CAPAO BONITO,CACB,,,1
87,2019-12-03 15:55:28,2020-05-08 11:44:43,True,10468867,COOP A1,A1,,,1
101,2019-12-03 15:55:28,2020-05-05 16:40:48,True,10548083,COOP AGRIC TUPANCIRETA LTDA,AGROPAN,,,1
97,2019-12-03 15:55:28,2020-02-14 11:27:12,True,10550708,COOP AGRIC MISTA NOVA PALMA LTDA,CAMNPAL,,,1
110,2019-12-03 15:55:28,2020-02-14 11:55:04,True,10462225,COOP AGROINDL NOVA PRODUTIVA,NOVA PRODUTIVA,,,1
84,2019-12-03 15:55:28,2020-02-12 13:17:16,True,10604105,COML CEREALISTA SOLIMA LT,SOLIMA CEREALISTA,,,1
116,2019-12-03 15:55:28,2020-02-12 13:51:13,True,10503681,COOP AGROP DE INSUMOS HOLAMBRA,INSUMOS HOLAMBRA,,,1
86,2019-12-03 15:55:28,2020-05-05 16:27:47,True,10574309,CONCEITO AGRIC REPRES COM P AGROP,CONCEITO AGRÍCOLA,,,1
137,2019-12-03 15:55:28,2020-02-07 15:11:07,True,10433817,COOP PROD E CONSUMO CONCORDIA,COPERDIA,,,1
129,2019-12-03 15:55:28,2020-02-12 14:31:26,True,10551271,COOP CAFEIC ZN VARGINHA LTDA,MINASUL,,,1
124,2019-12-03 15:55:28,2020-02-14 12:22:12,True,10433674,COOP AGROPEC DO ALTO PARANAIBA,COOPADAP,,,1
132,2019-12-03 15:55:28,2020-02-14 12:27:29,True,10503823,COOP GER ENER DESEN TAQUARI JACUI,CERTAJA,,,1
125,2019-12-03 15:55:28,2020-02-14 12:25:39,True,10554738,COOP AGROPECUARIA DO OESTE DA BAH,COOPROESTE,,,1
135,2019-12-03 15:55:28,2020-02-14 12:32:32,True,10434591,COOP PROD DE HORTALICAS DE LEBON RE,COOPERHORT,,,1
141,2019-12-03 15:55:28,2020-02-14 12:57:33,True,10433645,COOP REG AURIVERDE LTDA,AURIVERDE,,,1
115,2019-12-03 15:55:28,2020-05-05 16:31:24,True,10433956,COOP AGROP CENTRO SERRANA,COOPEAVI,,,1
99,2019-12-03 15:55:28,2020-05-05 16:10:38,True,10547335,COOP AGRIC MISTA SAO CRISTOVAO LTDA,CAMISC,,,1
111,2019-12-03 15:55:28,2020-02-14 12:12:03,True,10434279,COOP AGROINDL PROD RURAIS S GOIANO,COMIGO,,,1
112,2019-12-03 15:55:28,2020-02-14 12:13:53,True,10433605,COOP AGROINDUSTRIAL COPAGRIL,COPAGRIL,,,1
145,2019-12-03 15:55:28,2020-05-05 15:50:15,True,10550062,COOP TRIT CACAPAVANA LTDA,COTRISUL,,,1
85,2019-12-03 15:55:28,2020-02-12 13:23:49,True,10551228,COMTECNICA COM DE PROD AGROPEC LTDA,COMTECNICA,,,1
93,2019-12-03 15:55:28,2020-02-12 13:32:37,True,10546106,COOP AGRIC DE UNAI LTDA,COAGRIL,,,1
136,2019-12-03 15:55:28,2020-05-05 16:26:49,True,10434261,COOP PROD DE SEM COPROSSEL,COPROSSEL,,,1
119,2019-12-03 15:55:28,2020-02-12 13:54:13,True,10453075,COOP AGROP DO CELEIRO CATARINENSE,COOPERACEL,,,1
142,2019-12-03 15:55:28,2020-02-12 14:41:44,True,10547589,COOP REG CAF VALE DO RIO VERDE LTDA,COCARIVE,,,1
82,2019-12-03 15:55:28,2020-02-14 11:03:00,True,10434517,COML AGRO INDUSTRIAL LTDA,NUTRIMAQ,,,1
